Hours;00:00 - 01:29;01:30 - 02:59;03:00 - 04:29;04:30 - 05:59;06:00 - 07:29;07:30 - 08:59;09:00 - 10:29;10:30 - 11:59;12:00 - 13:29;13:30 - 14:59;15:00 - 16:29;16:30 - 17:59;18:00 - 19:29;19:30 - 20:59;21:00 - 22:29;22:30 - 23:59;
Logs;105;43;26;42;237;1378;2805;2179;2595;1668;957;1170;699;1645;345;823
ContactS_Fridge;1;0;0;0;18;141;183;147;245;21;16;29;30;220;17;0;
ContactS_Ba;0;0;0;0;6;48;31;3;3;0;5;0;0;3;1;1;
MotionD_L;31;25;7;3;40;201;822;724;950;579;450;485;380;549;145;225;
MotionD_E;0;0;0;0;4;34;205;92;114;130;48;93;42;54;29;41;
ContactS_Cupboard;4;1;0;0;5;64;123;78;203;72;23;30;18;94;9;7;
EMeter_Microwave;0;0;1;0;1;3;12;6;4;7;3;0;3;11;1;0;
EMeter_Toaster;0;3;1;0;0;5;6;2;0;4;3;3;2;3;1;1;
ContactS_E;0;0;0;1;7;49;287;111;170;189;78;160;74;83;42;77;
MotionD_K;21;0;0;4;36;296;815;794;770;374;202;190;88;524;93;96;
MotionD_S;16;0;0;0;45;167;255;113;82;158;33;39;8;61;0;106;
MotionD_B;25;14;17;22;59;294;31;95;27;71;81;104;48;0;0;184;
MotionD_T;7;0;0;12;16;76;35;14;27;63;15;37;6;43;7;85;
